espaniol,zapoteco
cinco,Gaayu’
río,Guiigu’
sentido,Guendala'dxi'
pasar,Cadi'di
existencia,"Enda nabani"
armas,"Ca Guiiba"
conforme,"Casi Naa'"
alguno,Tuuxha
oído,Diaga
serán,"chi gaca"
cuarto,Guidapa
necesario,Naquiiñe'
dijeron,"guniʼcaʼ ."
mucha,Stalee
ay,Ay
aquello,Ngué
color,Color
caballo,Mani’
todavía,"Ca’ru lica"
hermanos,Bicheca'
puedo,Zanda
alto,Nasoo
pesar,Guendananá
viene,Zeda'
espacio,Guiba'
dejó,Bisaanabe
santo,Bidó’
suelo,Layú
marido,Sheela'
falta,Riaadxa'
monte,Ui’xhi’
llama,Bele
siete,Gadxe
padres,"Bixhoze ne ñaa"
voy,Chaa'
siguiente,stobi
nuestras,Stidu
iii,iii
comer,Gaua'
durante,Jra
triste,Nabaná'
iv,iv
jamas,"Qui huayuu dxi"
plata,Guibayati
pasado,Gudi’di’
frente,Lucuá
llegado,Bedanda'
pudo,ñánda'
fuerte,Nadipa'
viejo,Yo'xho'
mexico,"Guidxi México"
conmigo,"Ne naa"
dolor,Yuuba'
cura,Dxe’
ultima,"Ra riluxhe"
obras,dxiiñaʼ
nueva,Nacuubi
vos,Lii
amo,Nadxie'
familia,"Binni lidxi"
ninguno,Guiruti’
pensamiento,"rini' ique"
carne,Beela
hicieron,bíʼnicabe
hermosa,Sicaru
esos,Ca
cara,Lú
sola,Stubi
sean,Gacatu
sueño,Bacaanda’
apenas,Deru'
deseo,"Jraca ladxhe'"
habrá,Ziu'
podrá,zanda
vuestros,Stitu
derecho,Jneza
seis,Xho'pa'
lengua,Ludxi
niño,Ba’du’
sombra,Baca’nda’
dicen,Naacabe'
movimiento,"modo riniibi"
león,Bedxe
pan,Guetastia
hacen,jrunicabe
quiso,Gucala'dxi
presencia,Núlu'
cielos,iba'
voces,"Ca diidxa"
ciudades,"Ca guidxi"
debajo,Xaguete'
miedo,Guendaridxibi
esposa,Xheela'
ira,"Guenda ridxichi"
igual,Zaqueca
cualquiera,Itiisi
memoria,guendarietenala'dxi'
mira,biiya'
buenos,Sicaru
media,gala'
peña,Guie
santa,Shunaxhi
viento,Bi
semejante,Casi
gracia,sicarú
tomar,Rigué
libre,"Nalate nuulu la"
hector,Hector
piedra,Guie
murio,Gutibe
iglesia,Yu'du'
sacerdote,Gue’
carta,gui'chi'
h,h
llevo,Sinia'
gracias,"Xquixepe lii"
dije,Gunie'
lagrimas,Nisaguielú
vamos,Chuu
esas,Laacani
lleno,Dxá
claro,Nayaa
papel,Gui’chi’
habla,Guni'
tras,Déeche
doce,"Chii ne chuppa"
mesa,Mexa’
presidente,"Shaíque guidxhi"
viendo,Cayuya
hare,Zune'
veinte,Gande
decían,Rabicabe
dejar,Risaaná
varon,Nguiu
reforma,"guendaruchaa didxa"
vive,Nabani
propia,Stibe
pueda,ganda
tienes,Napu'
señores,"Badungiu ca"
llamo,Cabi'dxi
sensación,Hruudu
pocos,Cadxhi
entrada,"Jra riucabe"
fuerzas,Stipa
negro,Nayase'
españoles,"Binni España"
puertas,"Ca rua yoo'"
pregunto,guinabadiidxa'be
dulce,Nanashi
haciendo,Cayuni
vivir,"Guenda nabani  "
templo,Yu'du
viaje,saree'
queda,Bia'na
silencio,Dxiisí
instante,nagasi
vigor,Stipa
america,"Guidxi America"
vinieron,"Beeda cave"
menor,Xhuncu
lanza,Ruzú'nda'
cualquier,Intissi
patria,Xquidxe'
morir,"Enda rati"
naciones,"Ca guidxi roʼ"
hablaba,guni'be
tenemos,Napanu
inteligencia,"Enda biaani’"
mes,Beu
cargo,Ruaya'
condiciones,Condiciones
buscar,Hruyube'
veía,biiya'
suyo,Stibe
vuestras,Stiitu
llevar,Chenee
entender,Ñene
muertos,"Ca Gue'tu'"
largo,Ziuula'
alrededor,"Gaxha de racá"
ambos,Guiropa’
dicha,Nayeche'
cuántos,Banda
labios,"Ca Guidi ruaa"
querido,Jnadxii
gobernador,"Shaíque guidxhi"
alegría,Nayeche'
mitad,Galaa
van,"Rie cabe"
tio,Ta
solamente,Stubilúcha
escrito,Ca
verdadero,Dxandi'
corte,Chuugu'
soldado,guachu
brazo,Xhi'que
frio,Naga'nda'
cambio,Bueltu
cristo,Cristo
buenas,Sicaru
común,saquesi
pasa,cayaca
ocho,Xhono
di,Gudxi
ahí,racá
bastante,Stale
esperanza,Xcaanda
c,c
arriba,Luguiá’
blanco,Naquichi'
estando,nucaca'
acerca,Ruchiña
quieres,Racala'dxhilu'
maria,Maria
viva,Nabani'
ven,Guda'
flores,"Ca Guie'"
ama,Nadxibe
hermana,Bizaana
